,temperature_C,humidity_%,pressure_mb,windspeed_10min_avg,winddir_10min_avg,rain_rate
2021-03-07 00:00,-2.2,59.7,811.5,1.2,179.1,0
2021-03-07 00:10,-4,64.9,811.6,2.1,288.1,0
2021-03-07 00:20,-4.4,66,811.7,2.4,317.2,0.06
2021-03-07 00:30,-4,65.3,811.6,2.3,319.2,0
2021-03-07 00:40,-4.1,65,811.6,2,320.2,0
2021-03-07 00:50,-3.9,66.3,811.7,1.9,246.6,0.06
2021-03-07 01:00,-5.1,65,811.6,0.8,246.6,0
2021-03-07 01:10,-5.9,67.7,811.7,0.1,161.9,0.06
2021-03-07 01:20,-6.2,69.6,811.6,0,213.3,0
2021-03-07 01:30,-5.1,69.6,811.6,0.6,321.7,0
2021-03-07 01:40,-5.1,67.8,811.5,0.9,22.4,0
2021-03-07 01:50,-5.9,70.2,811.5,0.7,19.5,0
2021-03-07 02:00,-5.7,72.8,811.6,1.7,16.8,0
2021-03-07 02:10,-6.2,67.9,811.4,1.3,31.5,0
2021-03-07 02:20,-6,71.4,811.4,1.5,5,0
2021-03-07 02:30,-5.8,68.1,811.3,1.4,8.1,0.06
2021-03-07 02:40,-6.7,70.9,811.3,1.4,30.4,0
2021-03-07 02:50,-6.3,74.2,811.1,2,34.8,0
2021-03-07 03:00,-6.8,72.4,811.2,1.5,38.1,0
2021-03-07 03:10,-6.6,71.4,811.1,1.7,32.3,0
2021-03-07 03:20,-7.3,71.8,811.1,0.6,314.6,0
2021-03-07 03:30,-8,72.4,811.1,1.1,319.3,0
2021-03-07 03:40,-8,73.9,811.2,1.4,338.9,0
2021-03-07 03:50,-7.8,75.2,811.2,0.8,353.7,0
2021-03-07 04:00,-7.7,73.4,811.2,1.2,353.9,0
2021-03-07 04:10,-7.8,74.6,811.2,1,355.8,0
2021-03-07 04:20,-7.7,73.3,811.3,0.9,19.7,0
2021-03-07 04:30,-8,74.1,811.4,1.1,3.8,0
2021-03-07 04:40,-7.3,76.3,811.6,1.5,20.9,0
2021-03-07 04:50,-7.4,72.7,811.7,2,32.1,0
2021-03-07 05:00,-7.3,74.5,811.7,1.2,12.6,0
2021-03-07 05:10,-6.7,74.5,811.8,1.9,20.2,0
2021-03-07 05:20,-7.4,75.7,811.9,2.8,39.6,0.06
2021-03-07 05:30,-7.4,76.5,811.9,2.7,46.3,0
2021-03-07 05:40,-6.5,76.9,811.9,2.5,47.3,0
2021-03-07 05:50,-6.9,74.7,812,1.7,35.8,0
2021-03-07 06:00,-7.1,77.9,812.1,1.7,35.5,0
2021-03-07 06:10,-7.3,76.5,812.3,1.5,16.7,0
